hotel,lead_time,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,total_nights,total_guests,arrival_date_num,stay_type,is_canceled
City Hotel,20,February,0,2,1,0.0,0,BB,IRL,Online TA,GDS,0,0,0,A,0,No Deposit,195.0,417.0,0,Transient,98.0,0,0,2,1.0,2,Short Stay,0
City Hotel,8,March,0,3,2,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,0,No Deposit,0.0,0.0,0,Transient-Party,100.0,0,0,3,2.0,3,Short Stay,0
City Hotel,93,April,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,170.0,0.0,0,Transient,95.0,0,0,3,2.0,4,Short Stay,1
Resort Hotel,90,September,4,10,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,2.0,0.0,0,Contract,54.0,0,0,14,2.0,9,Long Stay,0
City Hotel,8,August,0,1,1,0.0,0,BB,ESP,Corporate,Corporate,0,0,0,A,0,No Deposit,0.0,91.0,0,Transient,80.0,0,0,1,1.0,8,Short Stay,0
City Hotel,150,January,2,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,21.0,0.0,91,Transient,101.0,0,0,3,2.0,1,Short Stay,1
City Hotel,158,July,1,1,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,0,Transient,89.1,0,0,2,2.0,7,Short Stay,1
City Hotel,14,December,0,1,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,0,No Deposit,9.0,0.0,0,Transient,174.0,0,0,1,4.0,12,Short Stay,0
City Hotel,15,March,0,2,1,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,0,No Deposit,14.0,0.0,0,Transient,111.0,0,0,2,1.0,3,Short Stay,0
City Hotel,77,October,1,3,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,132.0,0.0,0,Transient,90.95,0,0,4,2.0,10,Medium Stay,0
