Feature,Importance
deposit_type_Non Refund,0.1769237770344605
country_PRT,0.10797760455782038
lead_time,0.07725497396833124
total_of_special_requests,0.0704065724374702
prior_cancel_flag,0.03813419869214256
previous_cancellations,0.035184356466731834
market_segment_Groups,0.033033945900362384
customer_type_Transient,0.031973604550562904
agent,0.030084429728064507
required_car_parking_spaces,0.029058953985198584
market_segment_Online TA,0.02664057181769105
adr_cleaned,0.024500128767949835
booking_changes,0.023894703296080934
adr,0.023771309583488037
customer_type_Transient-Party,0.022879154472626784
lead_time_bucket_181-400 days,0.01857763924943328
market_segment_Offline TA/TO,0.01500662321965331
distribution_channel_TA/TO,0.014900196062027547
total_nights,0.01346600168894312
distribution_channel_Direct,0.011302759574194188
market_segment_Direct,0.010167341676797184
country_GBR,0.009403177350136216
stays_in_week_nights,0.009213527398872065
hotel_Resort Hotel,0.008098012404355868
country_FRA,0.007712200941480518
country_DEU,0.006993403731587757
arrival_date_num,0.006754021369307888
lead_time_bucket_91-180 days,0.005964882351830184
days_in_waiting_list,0.005905727359982136
previous_bookings_not_canceled,0.00565171097258522
total_guests,0.005133554278140851
stays_in_weekend_nights,0.004954204122685668
party_size,0.004945593331549894
company,0.004328462663906098
party_size_category_Couple,0.004269348788382721
adults,0.004152394313153458
lead_time_bucket_31-90 days,0.004112257670544399
lead_time_bucket_400+ days,0.0039063814869393
lead_time_bucket_8-30 days,0.0038454648167388773
stay_type_Short Stay,0.003284839876846544
is_repeated_guest,0.00317947037326612
country_ESP,0.0029070826313552867
market_segment_Corporate,0.002863224166933728
meal_SC,0.00269809934118388
meal_HB,0.0024699290906065475
stay_length_bucket_Medium,0.00234988689435373
stay_type_Medium Stay,0.002267417317600447
stay_length_bucket_Long,0.002098194000745385
season_Summer,0.0020781646176480564
season_Spring,0.001663912394534589
reserved_room_type_D,0.0016168588486480992
season_Winter,0.0015740700828224931
arrival_date_month_October,0.0013532796125647175
arrival_date_month_July,0.0013479020145844406
party_size_category_Small Group,0.0013181565195207756
children,0.0012517132984865378
arrival_date_month_August,0.0011954533253167054
arrival_date_month_September,0.0011529768201035894
country_ITA,0.0011448988899222024
arrival_date_month_June,0.001053857124016423
country_IRL,0.0010336043126776711
arrival_date_month_February,0.0010056040313951087
arrival_date_month_May,0.0010041490852783627
arrival_date_month_November,0.000983256048259177
has_children,0.000852303756497698
meal_Undefined,0.0007796101142432975
meal_FB,0.0007462452793146663
country_CHN,0.0007365438455005811
arrival_date_month_March,0.0007319021351407607
arrival_date_month_January,0.0007202090979167401
arrival_date_month_December,0.0007133710462755117
country_AGO,0.0007098744904777246
reserved_room_type_E,0.0006572061620787305
country_AUT,0.0006277399222263019
stay_length_bucket_Extended,0.0006251558087966054
country_BEL,0.0006245322663228743
country_NLD,0.0005930123425852037
country_BRA,0.0005165035125803747
country_CN,0.00045022065160583535
reserved_room_type_G,0.00040003912838600076
reserved_room_type_F,0.00036042794209669457
reserved_room_type_B,0.0003012345882580392
country_ISR,0.0002923332654869756
country_CHE,0.000286723271954461
country_USA,0.00028431827565160374
market_segment_Complementary,0.00028000318856961416
country_SWE,0.0002250120293639104
reserved_room_type_C,0.0001497016001470638
country_POL,0.00014530779021165776
country_Unkown,0.00013923145896460107
country_RUS,0.00013583443947995293
babies,0.0001225439726108043
customer_type_Group,0.00012249778034918084
reserved_room_type_P,0.00011787272561580053
country_FIN,9.487957887660523e-05
reserved_room_type_H,9.294862481493295e-05
country_MAR,7.322935941497823e-05
country_PHL,7.019974652641817e-05
country_TUR,6.609964291619682e-05
deposit_type_Refundable,6.338898297405943e-05
country_AUS,5.4729241518898634e-05
country_LUX,5.4518325723697535e-05
country_SAU,5.420528132675648e-05
country_ROU,5.2183728142993605e-05
country_ARE,4.1352402266331587e-05
distribution_channel_GDS,4.006969786887587e-05
country_NOR,3.6522913086629445e-05
country_KOR,3.296426836174515e-05
country_IDN,2.7448322119882016e-05
country_SRB,2.582758749512287e-05
country_DNK,2.5719789154421422e-05
party_size_category_Large Group,2.1727925025783026e-05
country_ZAF,1.766987520908986e-05
country_HUN,1.6666149762624576e-05
country_GIB,1.6548497308654257e-05
country_JPN,1.6215156659152556e-05
country_SVK,1.497286596574646e-05
country_CZE,1.3623280691781374e-05
country_ISL,1.3069154307500262e-05
country_THA,1.2074763629945976e-05
country_SVN,1.157070336581276e-05
country_ARG,1.029503505023174e-05
country_IND,8.725219669816475e-06
country_NGA,7.934933070145168e-06
country_TUN,7.771893155701722e-06
country_GRC,7.40805243940942e-06
country_SGP,5.469437710198651e-06
country_MAC,5.2359685552559275e-06
country_HRV,5.0266022372884095e-06
country_HKG,4.895497383833576e-06
country_BOL,4.823604772761604e-06
country_IRN,4.430413444721198e-06
country_MEX,4.333237842464006e-06
country_MOZ,3.880890240213144e-06
country_UKR,3.7228745765957573e-06
country_LTU,3.6771474803285855e-06
country_TJK,3.656705579562333e-06
country_GEO,2.9985036547375417e-06
country_COL,2.9631060767905783e-06
country_DZA,2.7386350781346608e-06
country_BGR,2.6057975480962065e-06
country_EST,2.3936531491967796e-06
country_CPV,2.0466218898967497e-06
country_CHL,1.956389090918295e-06
country_ECU,1.0679169360067896e-06
country_MYS,1.0099124808320235e-06
country_KAZ,7.06962456349344e-07
country_NZL,5.138810103948851e-07
country_CYP,3.8690144986912406e-07
country_LVA,2.1329722329621898e-07
country_EGY,3.5464298207183537e-10
country_FRO,0.0
country_GHA,0.0
country_GGY,0.0
country_IMN,0.0
country_HND,0.0
country_AZE,0.0
country_ATF,0.0
country_AIA,0.0
country_ALB,0.0
country_AND,0.0
country_ASM,0.0
country_ATA,0.0
country_ARM,0.0
country_BGD,0.0
country_BEN,0.0
country_BFA,0.0
country_GAB,0.0
country_GTM,0.0
country_GNB,0.0
country_GLP,0.0
country_FJI,0.0
country_CUB,0.0
country_CRI,0.0
country_COM,0.0
country_CIV,0.0
country_CMR,0.0
country_BLR,0.0
country_BRB,0.0
country_CAF,0.0
country_DOM,0.0
country_DMA,0.0
country_DJI,0.0
country_CYM,0.0
country_ETH,0.0
country_BHR,0.0
country_BHS,0.0
country_BIH,0.0
country_KHM,0.0
country_KEN,0.0
country_JEY,0.0
country_JOR,0.0
country_JAM,0.0
country_IRQ,0.0
country_SEN,0.0
country_SLE,0.0
country_SUR,0.0
country_SLV,0.0
country_SMR,0.0
country_STP,0.0
country_RWA,0.0
country_SDN,0.0
country_PYF,0.0
country_QAT,0.0
country_NPL,0.0
country_OMN,0.0
country_MCO,0.0
country_LAO,0.0
country_MLT,0.0
country_MMR,0.0
country_MLI,0.0
country_MKD,0.0
country_MRT,0.0
country_MNE,0.0
country_MWI,0.0
country_MUS,0.0
country_MYT,0.0
country_NAM,0.0
country_NCL,0.0
country_NIC,0.0
country_KNA,0.0
country_KWT,0.0
country_LIE,0.0
country_LKA,0.0
country_LBN,0.0
country_LBY,0.0
country_MDG,0.0
country_MDV,0.0
country_PER,0.0
country_PAN,0.0
country_PAK,0.0
country_PLW,0.0
country_PRI,0.0
country_PRY,0.0
country_URY,0.0
country_UZB,0.0
market_segment_Undefined,0.0
country_VGB,0.0
country_ZMB,0.0
country_VEN,0.0
country_VNM,0.0
country_ZWE,0.0
country_TGO,0.0
country_SYR,0.0
country_TMP,0.0
country_SYC,0.0
country_TZA,0.0
country_TWN,0.0
country_UGA,0.0
country_UMI,0.0
reserved_room_type_L,0.0
distribution_channel_Undefined,0.0
